M,F,GY
A002,A017,1433.745
A003,A393,1451.795
A003,A256,952.38
A003,A187,522.58
A003,A071,1457.775
A003,A439,1320.1
A005,A429,1638.91
A005,A430,1592.485
A006,A017,2050.12
A006,A021,1948.125
A006,A304,1474.83
A006,A268,1499.175
A006,A010,1010.345
A006,A030,953.685
A007,A021,1541.34
A007,A033,1337.76
A007,A084,1058.66
A007,A202,1093.065
A007,A083,1132.575
A007,A025,886.295
A008,A027,1446.02
A008,A418,1389.85
A008,A423,1288.585
A008,A211,1364.11
A008,A248,924.31
A008,A250,1056.595
A008,A174,1520.015
A008,A075,1229.47
A008,A204,1251.03
A010,A397,1372.26
A010,A189,1482.875
A010,A337,1304.17
A010,A384,1584.805
A010,A425,1536.705
A010,A436,1680.915
A011,A070,1659.06
A011,A362,1831.75
A011,A173,1635.52
A011,A253,1352.81
A012,A017,1555.285
A012,A280,1273.72
A012,A056,1439.695
A012,A047,1347.28
A012,A088,1022.515
A013,A010,1532.84
A013,A073,928.79
A013,A196,1398.785
A013,A225,1071.925
A013,A240,1220.78
A013,A247,1012.82
A014,A078,1687.13
A014,A087,1790.22
A014,A370,1555
A014,A102,1586.815
A015,A081,1626.22
A015,A305,1717.325
A015,A283,1270.215
A017,A325,1212.145
A017,A427,1798.585
A017,A435,1874.355
A020,A027,1652.215
A020,A014,2008.19
A020,A015,1308.83
A020,A016,1417.08
A020,A005,1145.055
A020,A091,890.64
A021,A295,950.02
A021,A186,1618.225
A021,A154,1453.14
A021,A358,2125.145
A022,A030,1577.255
A022,A037,1927.95
A022,A090,1267.32
A022,A269,1020.145
A025,A211,1705.65
A025,A012,1224.16
A025,A156,1657.955
A025,A166,1761.615
A027,A018,2059.39
A027,A020,2034.43
A027,A097,1912.905
A029,A075,1366.28
A029,A232,1184.73
A029,A279,1570.99
A029,A065,1268.99
A029,A271,1031.9
A030,A330,892.815
A030,A062,2374.97
A031,A294,1143.785
A031,A060,1491.885
A031,A141,1782.475
A031,A242,1546.06
A032,A327,942.27
A032,A408,1808.98
A032,A306,1583.73
A033,A034,1658.205
A033,A064,2020.085
A033,A133,2246.845
A033,A262,1599.91
A034,A017,1636.39
A035,A031,1670.325
A035,A169,1571.495
A035,A155,1535.395
A035,A331,1068.05
A037,A027,2001.25
A038,A240,1825.59
A038,A243,2032.52
A038,A258,1689.59
A040,A070,1257.345
A040,A072,1738.8
A041,A075,1466.7
A041,A029,1460.015
A041,A008,1733.55
A041,A013,1644.49
A043,A084,1065.745
A043,A099,1035.03
A044,A102,1791.61
A044,A407,1808.045
A045,A106,1580.635
A045,A103,1385.36
A046,A144,1348.12
A047,A105,1184.95
A047,A067,1338.71
A047,A164,1288.295
A047,A311,1185.04
A047,A387,1261.92
A047,A334,1232.09
A054,A015,1171.635
A054,A049,1028.81
A054,A023,1004.15
A054,A146,1319.315
A055,A282,1363.84
A055,A354,1307.96
A056,A091,1196.785
A056,A193,1499.58
A057,A020,1456.64
A059,A147,1257.845
A060,A168,1372.19
A062,A039,1785.045
A062,A046,981.995
A062,A006,1772.565
A062,A315,1496.865
A064,A203,1526.41
A064,A264,1403.4
A065,A017,1748.205
A071,A070,1557.13
A072,A056,1208.39
A073,A164,1450.305
A073,A422,1491.715
A074,A259,794.77
A074,A265,845.73
A075,A191,1919.95
A081,A043,1458.93
A081,A216,1598.13
A082,A022,1155.81
A083,A253,1262.83
A083,A098,1227.56
A084,A044,1392.73
A084,A376,956.85
A087,A102,800.53
